evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
12099,1,23,3.894e-06,0.0020332,6.271e-06,3.5413e-05,1.1586e-05,0.00210026
12100,2,67,8.471e-06,0.0020984,3.6044e-05,6.2567e-05,2.3647e-05,0.00225675
12101,4,114,1.334e-05,0.00214542,1.0566e-05,7.688e-05,2.8823e-05,0.00232601
12102,4,57,6.974e-06,0.00217831,1.0463e-05,8.3584e-05,1.968e-05,0.00232933
12103,2,106,1.254e-05,0.0021783,0.000121994,9.8084e-05,2.9667e-05,0.0024805
12104,4,119,1.7389e-05,0.00232266,0.000358591,0.00010558,2.9038e-05,0.00288394
12105,1,28,5.204e-06,0.00207982,3.488e-06,2.7056e-05,1.2376e-05,0.0021405
12109,3,44,6.106e-06,0.00207368,4.8303e-05,4.3867e-05,1.552e-05,0.00220661
12110,10,223,2.7743e-05,0.00243197,0.000249795,0.00033553,6.7638e-05,0.00327283
12111,4,30,4.976e-06,0.0020677,2.1374e-05,2.9895e-05,4.209e-06,0.00214729
12112,11,275,3.4123e-05,0.0025482,0.000688809,0.000437475,8.3762e-05,0.00401098
12113,1,17,3.537e-06,0.0021177,5.045e-06,2.101e-05,1.1735e-05,0.0021694
12115,1,32,4.349e-06,0.00205736,5.005e-06,2.7596e-05,1.3221e-05,0.00212067
12116,5,127,1.1963e-05,0.00218399,7.4326e-05,0.000135902,3.626e-05,0.00250541
12117,2,45,6.036e-06,0.00207707,6.209e-06,4.376e-05,2.0724e-05,0.00217322
12119,6,90,1.001e-05,0.00211546,9.624e-06,7.1215e-05,3.2321e-05,0.00228047
12120,3,22,3.585e-06,0.00203793,7.706e-06,2.9657e-05,1.1411e-05,0.00210419
12121,4,73,7.569e-06,0.00216367,1.0822e-05,7.0833e-05,2.5595e-05,0.00231343
12122,3,80,8.691e-06,0.00212303,0.000355181,8.512e-05,2.48e-05,0.00263333
12124,2,36,4.47e-06,0.00206467,1.0349e-05,3.4239e-05,1.3587e-05,0.0021434
12125,4,89,9.06e-06,0.00220672,2.6372e-05,7.182e-05,2.5612e-05,0.0023798
12126,4,84,9.066e-06,0.00216572,0.00022436,9.0651e-05,2.5348e-05,0.00255638
12127,5,97,1.0457e-05,0.00209829,3.1256e-05,9.4778e-05,2.9564e-05,0.00231705
12128,4,85,8.334e-06,0.00216964,7.8677e-05,0.000115501,3.0479e-05,0.00244476
12129,2,51,5.331e-06,0.0020993,7.298e-06,5.9696e-05,1.8326e-05,0.00220927
12130,1,23,3.417e-06,0.00204097,6.245e-06,4.3466e-05,1.1178e-05,0.00211446
12131,1,15,3.451e-06,0.00242462,4.794e-06,1.9314e-05,1.1064e-05,0.00247208
12132,3,100,9.362e-06,0.00212067,7.6687e-05,0.00011385,3.4026e-05,0.00240139
12133,3,37,4.846e-06,0.00205517,8.728e-06,5.4281e-05,1.3067e-05,0.00215294
