evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
14610,1,25,3.878e-06,0.00186224,6.947e-06,3.6564e-05,1.1328e-05,0.00193118
14612,1,20,3.54e-06,0.00185883,6.346e-06,2.437e-05,1.5167e-05,0.00191871
14613,5,110,1.0709e-05,0.00200931,1.1491e-05,8.7833e-05,3.7889e-05,0.00220818
14614,1,61,6.642e-06,0.00187933,7.296e-06,4.7092e-05,2.1315e-05,0.00198196
14615,1,23,3.468e-06,0.00191679,4.2e-06,2.2175e-05,1.2809e-05,0.00196945
14617,2,78,7.359e-06,0.00190993,5.7174e-05,5.9688e-05,2.0015e-05,0.00208478
14619,3,36,5.081e-06,0.00190726,6.718e-06,3.6343e-05,1.5963e-05,0.00198815
14620,4,83,8.216e-06,0.00207462,0.000211331,0.000145335,2.8883e-05,0.00251205
14621,3,56,6.452e-06,0.00231537,7.432e-06,4.5497e-05,1.9881e-05,0.00241733
14622,7,226,2.269e-05,0.002337,0.00036968,0.000195514,6.5205e-05,0.00313276
14623,2,47,5.234e-06,0.00189994,6.8814e-05,3.243e-05,1.0731e-05,0.00203749
14624,4,72,7.256e-06,0.00194815,0.000106875,0.000122268,3.6232e-05,0.00226035
14625,2,42,4.83e-06,0.002503,6.9803e-05,3.6758e-05,1.1271e-05,0.00264479
14626,5,78,9.204e-06,0.00205835,8.216e-06,6.3082e-05,2.6973e-05,0.00220518
14627,4,60,6.793e-06,0.0019828,1.1002e-05,5.6305e-05,1.5241e-05,0.00210203
14628,1,23,3.448e-06,0.00186629,3.766e-06,2.3198e-05,1.2652e-05,0.00191929
14629,3,55,5.334e-06,0.00194003,9.586e-06,5.955e-05,2.314e-05,0.00206362
14630,9,350,3.5156e-05,0.00242326,0.000602918,0.0003148,8.1935e-05,0.00369638
14631,4,87,7.819e-06,0.0023946,0.000215073,9.4214e-05,2.8513e-05,0.00278511
14633,1,27,4.19e-06,0.00227845,4.565e-06,2.3548e-05,1.2264e-05,0.0023352
14635,2,50,5.133e-06,0.00189355,4.473e-06,4.0804e-05,2.03e-05,0.00198399
14636,3,79,8.276e-06,0.00202387,9.279e-06,6.3398e-05,2.6147e-05,0.00216517
14639,6,133,1.304e-05,0.0020366,0.000143221,0.000119801,4.0048e-05,0.0024321
14640,3,75,7.31e-06,0.00197238,5.648e-06,5.6133e-05,2.6365e-05,0.00209643
14641,4,79,7.873e-06,0.0019527,5.897e-06,6.2145e-05,2.8806e-05,0.00209373
14642,3,57,5.527e-06,0.00192796,7.764e-06,5.1053e-05,2.1768e-05,0.0020407
14643,5,86,1.0985e-05,0.00199174,0.000218041,7.4424e-05,2.3398e-05,0.00235203
14644,7,214,2.218e-05,0.00227902,0.000470311,0.000199923,6.2237e-05,0.00314823
14646,5,103,1.0365e-05,0.00202201,0.00028889,0.000106468,3.231e-05,0.00252049
14647,7,178,1.8591e-05,0.00211798,0.000943867,0.00018647,5.2287e-05,0.00342264
14648,2,82,1.4216e-05,0.00202214,2.291e-06,0.000257843,2.9288e-05,0.0023612
14649,2,31,3.696e-06,0.00229362,6.121e-06,2.9448e-05,1.4779e-05,0.00236344
14651,5,111,1.1104e-05,0.00208482,1.0729e-05,0.000106554,3.3755e-05,0.00229494
14652,2,33,4.064e-06,0.00189713,6.8e-06,3.079e-05,1.3715e-05,0.00196788
14653,6,166,1.7816e-05,0.00209976,0.000390421,0.000155057,4.7064e-05,0.00280265
14654,11,203,2.0344e-05,0.00228726,0.000402225,0.000176951,5.933e-05,0.00310989
14656,1,26,3.588e-06,0.00195195,4.193e-06,2.4044e-05,1.3643e-05,0.00200976
14657,3,43,5.347e-06,0.00238475,6.982e-06,4.2324e-05,2.0274e-05,0.00247983
14658,4,36,4.839e-06,0.00189051,9.295e-06,3.938e-05,1.7623e-05,0.00198045
14659,4,152,1.776e-05,0.00197224,0.000805882,0.000170965,3.4788e-05,0.00308212
14660,6,187,1.9936e-05,0.00196829,0.000333567,0.000222428,4.737e-05,0.0026894
14661,4,75,7.34e-06,0.00202298,4.8243e-05,6.3296e-05,2.5558e-05,0.00220344
14662,1,24,3.541e-06,0.00223619,4.09e-06,2.3685e-05,1.4019e-05,0.00229264
14663,8,127,1.2261e-05,0.00205194,4.0688e-05,0.000112298,3.9062e-05,0.002332
14664,3,75,7.291e-06,0.0019381,0.000259739,7.8945e-05,2.4971e-05,0.00234283
14665,7,149,1.4035e-05,0.0021261,0.000182062,0.00015444,3.7112e-05,0.00259462
14667,2,28,4.567e-06,0.00190233,2.55e-05,5.7156e-05,1.2237e-05,0.00201797
14668,6,100,1.0051e-05,0.001987,1.4396e-05,0.000112227,3.4426e-05,0.00220982
14669,1,106,2.5231e-05,0.00183199,2.903e-06,0.00112938,0.000155766,0.0031981
14670,1,22,4.102e-06,0.00190218,5.335e-06,2.3985e-05,1.262e-05,0.00195838
14672,1,28,4.035e-06,0.00187455,4.385e-06,2.602e-05,1.3783e-05,0.00193436
14673,6,169,1.6268e-05,0.00207711,0.00062619,0.000170745,4.7267e-05,0.00304446
14674,1,27,3.484e-06,0.00190963,4.091e-06,2.5131e-05,1.2934e-05,0.00196755
14676,6,155,1.5436e-05,0.00213561,8.1935e-05,0.000151155,4.7609e-05,0.00251036
14678,4,156,2.2118e-05,0.00206342,0.000479587,0.000202721,3.9129e-05,0.0028902
14679,4,92,9.637e-06,0.00251775,9.246e-06,6.7449e-05,2.8171e-05,0.00267489
14680,4,73,7.271e-06,0.00199397,9.252e-06,6.1915e-05,2.7509e-05,0.00213389
14681,3,40,5.111e-06,0.0018904,7.427e-06,3.7086e-05,1.5312e-05,0.00197564
14682,3,52,7.001e-06,0.00197447,8.37e-06,6.7537e-05,1.8886e-05,0.00209698
14684,3,19,3.403e-06,0.00184968,8.623e-06,5.3426e-05,1.1257e-05,0.0019384
14685,1,28,3.532e-06,0.00185875,5.388e-06,2.3706e-05,1.2377e-05,0.00191495
14686,7,200,1.9801e-05,0.00223985,8.4883e-05,0.000252635,6.0223e-05,0.00278166
