evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
320,4,74,0.000268194,0.0151788,0.000752576,0.00191779,6.34e-05,0.0187423
323,11,210,0.000573283,0.0417143,0.0183252,0.0115929,0.000721414,0.0747448
324,1,13,3.6894e-05,0.00390177,5.908e-06,0.000246054,1.1823e-05,0.00427464
325,6,106,0.000284263,0.0173969,0.000194024,0.00289924,4.3254e-05,0.0214755
326,4,103,0.000293154,0.0154158,0.00356033,0.00307687,7.2976e-05,0.0237686
327,4,95,0.00019319,0.0108931,8.138e-06,0.00163832,4.7349e-05,0.0132529
329,1,19,0.00013861,0.00688417,1.7312e-05,0.000415059,1.6089e-05,0.00759539
330,7,177,0.000491037,0.0356477,0.012661,0.00832129,0.000168299,0.0587573
332,6,134,0.000607963,0.0185915,0.00425683,0.011856,0.000547639,0.0378935
336,1,25,0.000111015,0.00725746,1.0671e-05,0.00107838,1.4384e-05,0.00870211
337,8,175,0.00191196,0.0377075,0.00379777,0.0130353,0.00112588,0.0597625
338,3,60,0.000202005,0.0159859,3.3271e-05,0.00339212,2.4786e-05,0.0201515
339,2,33,0.00013193,0.00950377,9.26e-06,0.000920314,1.5798e-05,0.0108089
340,5,108,0.000306648,0.0180777,0.00107359,0.00428295,6.2523e-05,0.0245942
341,3,67,0.000172982,0.0115587,2.376e-05,0.00188821,2.087e-05,0.0141783
342,5,99,0.000460017,0.0169166,1.2395e-05,0.00234621,0.000364869,0.0208472
343,5,83,0.00025802,0.016196,4.559e-05,0.00160099,9.8311e-05,0.0186722
344,4,106,0.000283147,0.021612,0.000523773,0.00340854,2.9991e-05,0.026704
345,1,26,0.000115951,0.00587536,2.865e-06,0.000564941,1.2984e-05,0.00675713
346,3,122,0.000351673,0.0153417,0.00437256,0.00288909,0.000126954,0.0242349
349,6,182,0.000313258,0.0346659,0.0236866,0.0235563,8.3351e-05,0.0852722
350,2,43,0.000130809,0.010161,8.544e-06,0.00157587,2.0451e-05,0.0122209
351,4,136,0.000456386,0.0270622,0.00312143,0.00404265,0.000503815,0.0363039
352,5,100,0.00030924,0.0208596,1.7473e-05,0.00245394,3.1027e-05,0.0244231
353,2,32,0.00019902,0.00708544,1.3847e-05,0.000276692,0.000141595,0.00785909
354,4,166,0.000397081,0.0275881,0.000246717,0.00411454,0.00032931,0.0426613
355,2,35,0.000220581,0.00688547,3.9592e-05,0.00072459,0.00012099,0.00827449
356,11,312,0.00132743,0.0506648,0.0209202,0.026638,0.000188912,0.104964
357,2,15,0.000111505,0.00576402,1.4504e-05,0.000453879,1.3187e-05,0.00650594
360,2,18,0.00012733,0.00835798,2.949e-06,0.000777349,1.3094e-05,0.00947811
361,3,58,0.000270653,0.0147848,2.5505e-05,0.00189134,7.1053e-05,0.017523
362,2,32,0.000128725,0.00814034,1.9085e-05,0.00161131,2.0457e-05,0.0102584
363,4,277,0.00113339,0.0382855,0.0124835,0.159524,0.000544582,0.23689
364,1,27,0.00013481,0.00655489,3.229e-06,0.000591377,2.0167e-05,0.00751007
366,4,82,0.000215157,0.0148793,6.3038e-05,0.00214065,7.6411e-05,0.0179444
367,3,74,0.000264876,0.0131031,0.0064628,0.00368836,3.6786e-05,0.0244048
369,2,39,0.000123959,0.00731051,1.5277e-05,0.000923015,1.668e-05,0.00863813
370,3,65,0.000243881,0.0166258,2.1233e-05,0.00216138,3.1104e-05,0.019571
373,1,25,0.000108425,0.00841398,1.0104e-05,0.00100335,3.9981e-05,0.00980772
374,6,128,0.000330402,0.0236513,0.00175382,0.00369384,3.9965e-05,0.0304435
375,3,63,0.000210653,0.0150114,1.1714e-05,0.00191242,7.9771e-05,0.0177299
376,1,17,1.8406e-05,0.00357415,5.642e-06,0.000120319,5.3495e-05,0.00382225
378,7,131,0.000311811,0.0218555,0.00470538,0.00291747,0.000105419,0.0306789
379,3,28,0.000171531,0.0063534,2.7929e-05,0.000703198,1.7047e-05,0.00752561
381,9,171,0.00135649,0.0244782,0.00479791,0.00386311,0.000699948,0.0364689
382,8,178,0.000470421,0.0328041,0.00218475,0.00575104,0.000118605,0.0426895
383,5,119,0.000339836,0.0310621,0.000903568,0.0446436,3.2409e-05,0.104913
386,2,17,0.000116964,0.00481535,1.4193e-05,0.000463232,1.1144e-05,0.00557221
387,1,26,0.000147223,0.00782126,3.321e-06,0.000594515,1.3671e-05,0.0087668
388,2,94,0.000380252,0.0211649,6.5074e-05,0.00170866,1.4064e-05,0.0239978
389,7,195,0.000527533,0.0317845,0.0141556,0.00849914,0.000199149,0.057286
390,5,92,0.000246612,0.014973,3.4181e-05,0.00328895,3.5202e-05,0.0194116
392,4,69,0.000236299,0.0166905,2.2474e-05,0.00189061,2.4723e-05,0.0194056
393,7,221,0.000457606,0.0275486,0.0128171,0.00847007,0.000112032,0.050889
394,4,93,0.000263694,0.0149465,5.9836e-05,0.00303894,8.3492e-05,0.0192566
395,2,30,0.000125072,0.00740566,9.05e-06,0.00101365,3.4741e-05,0.00883844
396,10,173,0.000412654,0.0331001,0.00286975,0.0048704,9.8289e-05,0.0424347
397,3,25,3.521e-05,0.00386736,5.702e-06,0.000226018,1.2092e-05,0.00422625
398,2,30,0.000172885,0.0104079,3.603e-06,0.000658024,1.3322e-05,0.0114803
399,6,119,0.000676322,0.0230469,0.00104311,0.00426738,5.8543e-05,0.0303066
400,5,80,0.00014174,0.013881,0.00129773,0.00188532,9.5088e-05,0.0177755
401,8,139,0.000408651,0.0253669,4.5117e-05,0.00608846,0.000182326,0.0331779
402,2,48,0.000188245,0.0101168,5.14e-06,0.00169366,4.9575e-05,0.0127064
403,4,93,0.000315707,0.0219569,2.7153e-05,0.00399441,3.1171e-05,0.027078
404,6,137,0.000423775,0.0264799,0.00158365,0.0332065,0.00011882,0.0667069
406,1,29,0.000149228,0.00751978,3.196e-06,0.00102083,1.3699e-05,0.00896309
408,4,153,0.000535684,0.0260878,0.00320257,0.00380661,3.2407e-05,0.0349145
409,2,17,5.7771e-05,0.00503824,7.986e-06,0.000410021,1.2351e-05,0.00562143
411,1,27,0.000168013,0.00861202,3.266e-06,0.00075453,1.3331e-05,0.00977738
412,1,25,0.000183098,0.00919498,4.2454e-05,0.000621165,1.4303e-05,0.0102525
414,1,11,3.3032e-05,0.0035309,4.67e-06,5.8631e-05,2.4661e-05,0.00368579
416,5,118,0.000357267,0.0221637,0.00541535,0.00327914,4.2362e-05,0.0322914
417,2,34,0.000136555,0.00659578,4.073e-06,0.000653823,3.1092e-05,0.00763508
419,3,34,0.000146948,0.00918456,1.6798e-05,0.000668574,4.3397e-05,0.0102586
420,5,111,0.000880964,0.0250889,4.6292e-05,0.00365197,6.2373e-05,0.0310344
